TimeStep,Time,Points:0,Points:1,Points:2,Raw Length,Raw Speed,Raw Length:0,Raw Velocity:0,Raw Length:1,Raw Velocity:1,Smoothed:0,Smoothed:1,Smoothed Length,Smoothed Speed,Smoothed Length:0,Smoothed Velocity:0,Smoothed Length:1,Smoothed Velocity:1
20,0.005,6.3749,0.12517,0,4.4269243796384785,2000.000019599998,4.3749,1999.9999999999982,0.12571,0.27999999999994674,6.327983216783594,0.12519477855478606,4.500685932844392,1614.1631710077697,4.449640792541175,1614.1631701632612,0.22235551864802752,0.05221445221437188
21,0.00525,6.7499,0.12517,0,4.8019243796384785,1499.9999999999986,4.7499,1499.9999999999986,0.12571,0.0,6.743165034965437,0.13042533799534575,4.91590069763587,1660.8590591659101,4.864822610723018,1660.7272727273696,0.22758607808858722,20.922237762238765
22,0.0055,7.1248,0.12517,0,5.176824379638478,1499.6000000000013,5.1248,1499.6000000000013,0.12571,0.0,7.135614219114643,0.11728799533800238,5.308569708268838,1570.676042531876,5.257271794872224,1569.7967365968286,0.2407234207459306,52.54937062937362
23,0.00575,7.4998,0.12516,0,5.551824379771811,1500.000000533332,5.4998,1499.9999999999986,0.12572,0.04000000000003997,7.518162004662454,0.11436484848485537,5.691128661915277,1530.2358145857568,5.639819580420035,1530.191142191241,0.2436465675990776,11.692587412588042
24,0.006,7.8748,0.12517,0,5.9268243799051445,1500.000000533332,5.8748,1499.9999999999986,0.12573,0.04000000000003997,7.869555011655481,0.13712293706294523,6.043257865417813,1408.5168140101403,5.991212587413062,1405.5720279721081,0.26640465617716746,91.03235431235937
25,0.00625,8.2498,0.12515,0,6.301824380438479,1500.0000021333358,6.2498000000000005,1500.0000000000023,0.12575,0.07999999999996892,8.20461794871844,0.16425300699301673,6.379417369950507,1344.6380181307754,6.326275524476021,1340.2517482518329,0.29353472610723896,108.5202797202859
26,0.0065,8.6248,0.2503,0,6.697156547735804,1581.3286691893045,6.6248000000000005,1500.0000000000039,0.2509,500.60000000000133,8.61109230769282,0.19516965034966205,6.787065801003633,1630.5937242125103,6.732749883450401,1625.8974358975252,0.3244513694638843,123.6665734265817
27,0.00675,8.9998,0.2503,0,7.072156547735804,1499.9999999999986,6.9998000000000005,1499.9999999999986,0.2509,0.0,9.10587132867187,0.23686783216784635,7.283598798867754,1986.13199145648,7.227528904429452,1979.1160839162014,0.3661495512820686,166.79272727273704
28,0.007125,9.6248,0.25026,0,7.697156549015804,1666.6666700799988,7.6248000000000005,1666.6666666666652,0.25094000000000005,0.10666666666677325,9.645262937063514,0.2960525407925585,7.826227711604917,1447.0104339657664,7.766920512821095,1438.3776223777134,0.42533425990678075,157.82588966589893
29,0.007625,10.375,0.37532,0,8.457709008481947,1521.1049189322873,8.375,1500.4000000000003,0.37600000000000006,250.12000000000023,10.213802797203407,0.37651123543125786,8.400432530559662,1148.4096379094924,8.335460372960988,1137.079720279787,0.5057929545454801,160.91738927739888
30,0.007875,10.75,0.50041,0,8.853022185722473,1581.2527089621028,8.75,1499.9999999999986,0.50109,500.35999999999945,10.79573519813584,0.4817308391608679,8.991800845794765,2365.47326094041,8.917392773893422,2327.729603729734,0.6110125582750902,420.8784149184398
31,0.008125,11.25,0.62544,0,9.368417665815189,2061.5819203708606,9.25,1999.9999999999982,0.62612,500.11999999999944,11.362196736597413,0.6280466666667041,9.576853831373823,2340.2119423162285,9.483854312354994,2265.846153846288,0.7573283857809263,585.2633100233442
32,0.0085,11.875,0.75043,0,10.005793143928365,1699.667941635135,9.875,1666.6666666666652,0.75111,333.3066666666665,11.816154778555482,0.7478195571096016,10.046346588659226,1251.980686094407,9.937812354313063,1210.55477855485,0.8771012762238238,319.3943745143931
33,0.00875,12.375,0.87541,0,10.521176496783305,2061.5334114197576,10.375,1999.9999999999982,0.87609,499.9199999999995,12.282625641026371,0.8646324242424759,10.527221116433507,1923.498111097123,10.404283216783952,1865.8834498835529,0.9939141433566981,467.2514685314968
34,0.009,12.75,1.0004,0,10.916458042140535,1581.1261814289305,10.75,1500.000000000009,1.00108,499.96000000000276,12.798076923077687,1.0070946620047219,11.06199725030316,2139.1045354786215,10.919734498835268,2061.805128205277,1.1363763811189442,569.8489510489878
35,0.00925,13.125,1.1254,0,11.311742749661583,1581.1388300841913,11.125,1499.9999999999986,1.12608,499.99999999999955,13.268648018648811,1.1670689510490204,11.55901729933764,1988.0801961379202,11.390305594406392,1882.2843822844943,1.2963506701632428,639.8971561771937
36,0.0097188,13.875,1.3754,0,12.102312164703678,1686.368206147812,11.875,1599.8293515358357,1.37608,533.2764505119453,13.728729603730422,1.3337649650350443,12.048366485512538,1043.8335882570357,11.850387179488003,981.4026985529231,1.4630466841492666,355.5802346118255
37,0.0099688,14.25,1.5005,0,12.497628506384615,1581.265366723747,12.25,1499.9999999999986,1.50118,500.3999999999995,14.220571095571945,1.4937652447553333,12.56557837884782,2068.847573341122,12.342228671329526,1967.3659673660904,1.6230469638695557,640.0011188811558
38,0.010219,14.625,1.6255,0,12.892913213905663,1579.8749301400758,12.625,1498.8009592326093,1.62618,499.6003197442031,14.710955710956588,1.6362759440560413,13.07625084767801,2041.057029696997,12.83261328671417,1959.9704851504473,1.7655576631702636,569.5871275008293
39,0.010469,15.125,1.7505,0,13.40830141710787,2061.5528128088395,13.125,2000.000000000012,1.75118,500.000000000003,15.140734265735166,1.7583799533800581,13.523038263839837,1787.14966464732,13.262391841492747,1719.1142191143203,1.8876616724942805,488.4160372960705
40,0.010813,15.625,1.8755,0,13.923689620310077,1498.2215209366452,13.625,1453.4883720930209,1.87618,363.3720930232552,15.56060606060699,1.8702510489511608,13.957558074841781,1263.138985470767,13.68226363636457,1220.5575432320445,1.9995327680653832,325.2066731718095
41,0.011063,16.0,2.0005,0,14.318974327831125,1581.1388300841913,14.0,1499.9999999999986,2.00118,500.00000000000045,15.995046620047574,2.000497668997788,14.411102760314579,1814.1787418911888,14.116704195805156,1737.7622377623381,2.12977938811201,520.9864801865076
42,0.011313,16.375,2.1255,0,14.714259035352173,1581.1388300841913,14.375,1499.9999999999986,2.12618,499.99999999999955,16.413752913753893,2.125511888112015,14.848073600726181,1747.8833616464071,14.535410489511474,1674.8251748252712,2.254793607226237,500.05687645690733
43,0.011563,16.875,2.2505,0,15.22964723855438,2061.5528128088254,14.875,1999.9999999999982,2.25118,499.99999999999955,16.849358974359976,2.2505130536131883,15.301260020881731,1812.7456806221983,14.971016550117557,1742.424242424333,2.3797947727274105,500.00466200469293
44,0.011813,17.25,2.3756,0,15.624963580235317,1581.265366723747,15.25,1499.9999999999986,2.37628,500.3999999999986,17.32138694638798,2.37028111888126,15.788245437331678,1947.941665799787,15.443044522145563,1888.1118881120199,2.499562837995482,479.0722610722855
45,0.012188,17.875,2.5005,0,16.262321415364063,1699.6208936766632,15.875,1666.6666666666729,2.50118,333.06666666666854,17.802447552448612,2.5084442890444385,16.28875354744875,1334.6882936455277,15.924105128206193,1282.8282828283525,2.6377260081586607,368.43512043514454
46,0.012438,18.25,2.6256,0,16.657637757045002,1581.2653667237541,16.25,1499.9999999999986,2.62628,500.3999999999986,18.24446386946496,2.6364013986015555,16.748918133651237,1840.658344809951,16.36612144522254,1768.0652680653834,2.7656831177157777,511.8284382284677
47,0.012688,18.625,2.7507,0,17.05295409872594,1581.2653667237541,16.625,1499.9999999999986,2.75138,500.4000000000004,18.641317016318126,2.7439370629372264,17.160082747001386,1644.6584534005935,16.762974592075707,1587.4125874126705,2.8732187820514485,430.14265734268304
48,0.012938,19.0,2.8757,0,17.448238806246987,1581.138830084184,17.0,1499.9999999999986,2.87638,499.99999999999955,19.0157342657354,2.8287405594407287,17.543983658279824,1535.6036451137513,17.13739184149298,1497.6689976690936,2.958022278554951,339.2139860140088
49,0.013188,19.375,2.8756,0,17.82323881958032,1500.0000533333364,17.375,1499.9999999999986,2.8764800000000004,0.4000000000008438,19.369755244756398,2.92523123543141,17.91091867179056,1467.7400540429476,17.49141282051398,1416.08391608399,3.054512954545632,385.96270396272524
